cod_entidad,cod_sector,Tipo de gasto,Entidad,Sector,Total
0501,05,Funcionamiento,Departamento administrativo de la función pública,Empleo público,42518047287
0501,05,Inversión,Departamento administrativo de la función pública,Empleo público,13488205700
0503,05,Funcionamiento,Escuela superior de administración pública (esap),Empleo público,175006786000
0503,05,Inversión,Escuela superior de administración pública (esap),Empleo público,306360451000
1101,11,Funcionamiento,Ministerio de relaciones exteriores,Relaciones exteriores,670160000000
1102,11,Funcionamiento,Fondo rotatorio del ministerio de relaciones exteriores,Relaciones exteriores,825501000000
1102,11,Inversión,Fondo rotatorio del ministerio de relaciones exteriores,Relaciones exteriores,157932110095
1104,11,Funcionamiento,Unidad administrativa especial migración colombia,Relaciones exteriores,258086000000
1104,11,Inversión,Unidad administrativa especial migración colombia,Relaciones exteriores,68633961587
1201,12,Funcionamiento,Ministerio de justicia y del derecho,Justicia y del derecho,120445535000
1201,12,Inversión,Ministerio de justicia y del derecho,Justicia y del derecho,55706836995
1204,12,Funcionamiento,Superintendencia de notariado y registro,Justicia y del derecho,759758947502
1204,12,Inversión,Superintendencia de notariado y registro,Justicia y del derecho,380601935432
1208,12,Funcionamiento,Instituto nacional penitenciario y carcelario - inpec,Justicia y del derecho,2428787039484
1208,12,Inversión,Instituto nacional penitenciario y carcelario - inpec,Justicia y del derecho,14869889877
1210,12,Funcionamiento,Unidad administrativa especial agencia nacional de defensa jurídica del estado,Justicia y del derecho,237411000000
1210,12,Inversión,Unidad administrativa especial agencia nacional de defensa jurídica del estado,Justicia y del derecho,22266327000
1211,12,Funcionamiento,Unidad de servicios penitenciarios y carcelarios - uspec,Justicia y del derecho,1623982000000
1211,12,Inversión,Unidad de servicios penitenciarios y carcelarios - uspec,Justicia y del derecho,500000000000
1301,13,Funcionamiento,Ministerio de hacienda y crédito público,Hacienda,21882471258988
1301,13,Inversión,Ministerio de hacienda y crédito público,Hacienda,4785684568311
1308,13,Funcionamiento,Unidad administrativa especial contaduría general de la nación,Hacienda,23814127000
1308,13,Inversión,Unidad administrativa especial contaduría general de la nación,Hacienda,4334872606
1309,13,Funcionamiento,Superintendencia de la economía solidaria,Hacienda,28122360596
1309,13,Inversión,Superintendencia de la economía solidaria,Hacienda,24593033289
1310,13,Funcionamiento,Unidad administrativa especial dirección de impuestos y aduanas nacionales,Hacienda,3580814390000
1310,13,Inversión,Unidad administrativa especial dirección de impuestos y aduanas nacionales,Hacienda,56901443173
1312,13,Funcionamiento,Unidad de información y análisis financiero,Hacienda,26896000000
1312,13,Inversión,Unidad de información y análisis financiero,Hacienda,2496264045
1313,13,Funcionamiento,Superintendencia financiera de colombia,Hacienda,393203444994
1313,13,Inversión,Superintendencia financiera de colombia,Hacienda,74918409649
1314,13,Funcionamiento,Unidad administrativa especial de gestión  pensional y contribuciones parafiscales de la protección social (ugppp),Hacienda,255610000000
1314,13,Inversión,Unidad administrativa especial de gestión  pensional y contribuciones parafiscales de la protección social (ugppp),Hacienda,4784056802
1315,13,Funcionamiento,Fondo adaptación,Hacienda,44045000000
1315,13,Inversión,Fondo adaptación,Hacienda,15985083250
1401,14,Deuda,Servicio de la deuda pública nacional,Servicio de la deuda pública nacional,115045878545010
1501,15,Funcionamiento,Ministerio de defensa nacional,Defensa y policía,26816987000000
1501,15,Deuda,Ministerio de defensa nacional,Defensa y policía,282926448751
