Ingreso,Ingreso específico,Valor,Código de entidad,Código de sector,Sector,Entidad,Año,Ingreso_alt,IPC,Valor_25
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,3167000000.0,1310.0,13.0,Hacienda,Unidad administrativa especial dirección de impuestos y aduanas nacionales,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,5736132457.378441
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,VENTA DE BIENES Y SERVICIOS,500000000.0,1313.0,13.0,Hacienda,Superintendencia financiera de colombia,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,905609797.502122
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,40824584000.0,503.0,5.0,Empleo público,Escuela superior de administración pública (esap),2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,73942286498.69675
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,"TASAS, MULTAS Y CONTRIBUCIONES",191705562500.0,1313.0,13.0,Hacienda,Superintendencia financiera de colombia,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,347220871271.3108
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,VENTA DE BIENES Y SERVICIOS,20281531000.0,503.0,5.0,Empleo público,Escuela superior de administración pública (esap),2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,36734306363.886024
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OTROS INGRESOS,123000000.0,403.0,4.0,Información estadística,Instituto geográfico agustín codazzi - igac,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,222780010.185522
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,APORTES PATRONALES,18211941000.0,1913.0,19.0,Salud y protección social,Fondo de previsión social del congreso ,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,32985824402.26119
INGRESOS DEL PRESUPUESTO NACIONAL,INGRESOS CORRIENTES DE LA NACIÓN,102131545000000.0,Nación,Nación,Nación,Nación,2014,INGRESOS CORRIENTES DE LA NACIÓN,55.21141681319193,184982655572057.75
INGRESOS DEL PRESUPUESTO NACIONAL,INGRESOS CORRIENTES DE LA NACIÓN,559895000000.0,Nación,Nación,Nación,Nación,2014,INGRESOS CORRIENTES DE LA NACIÓN,55.21141681319193,1014092795144.9012
INGRESOS DEL PRESUPUESTO NACIONAL,RECURSOS DE CAPITAL DE LA NACIÓN,13591131876227.0,Nación,Nación,Nación,Nación,2014,RECURSOS DE CAPITAL DE LA NACIÓN,55.21141681319193,24616524372509.14
INGRESOS DEL PRESUPUESTO NACIONAL,RECURSOS DE CAPITAL DE LA NACIÓN,897015476169.0,Nación,Nación,Nación,Nación,2014,RECURSOS DE CAPITAL DE LA NACIÓN,55.21141681319193,1624692007459.3557
INGRESOS DEL PRESUPUESTO NACIONAL,RECURSOS DE CAPITAL DE LA NACIÓN,9295334207774.0,Nación,Nación,Nación,Nación,2014,RECURSOS DE CAPITAL DE LA NACIÓN,55.21141681319193,16835891459233.52
INGRESOS DEL PRESUPUESTO NACIONAL,RECURSOS DE CAPITAL DE LA NACIÓN,30500000000000.0,Nación,Nación,Nación,Nación,2014,RECURSOS DE CAPITAL DE LA NACIÓN,55.21141681319193,55242197647629.445
INGRESOS DEL PRESUPUESTO NACIONAL,RECURSOS DE CAPITAL DE LA NACIÓN,7225980122859.0,Nación,Nación,Nación,Nación,2014,RECURSOS DE CAPITAL DE LA NACIÓN,55.21141681319193,13087836791633.396
INGRESOS DEL PRESUPUESTO NACIONAL,RECURSOS DE CAPITAL DE LA NACIÓN,520898634553.0,Nación,Nación,Nación,Nación,2014,RECURSOS DE CAPITAL DE LA NACIÓN,55.21141681319193,943461813913.3484
