ENTIDAD,CONCEPTO,NACION,PROPIOS,TOTAL,Tipo de gasto,Código de entidad,Código de sector,Sector,TOTAL %
Comisión nacional del servicio civil,Adquisición de bienes y servicios,0.0,10681.9,10681.9,Funcionamiento,3801,5,Empleo público,0.002020683703176532
Comisión nacional del servicio civil,Disminución de pasivos,0.0,0.0,0.0,Funcionamiento,3801,5,Empleo público,0.0
Comisión nacional del servicio civil,Gastos comerc. y produccion,0.0,0.0,0.0,Funcionamiento,3801,5,Empleo público,0.0
Comisión nacional del servicio civil,Gastos de personal,6073.2,18985.4,25058.6,Funcionamiento,3801,5,Empleo público,0.0047403088068994695
Comisión nacional del servicio civil,Inversion,0.0,109930.1,109930.1,Inversion,3801,5,Empleo público,0.020795360521870317
Comisión nacional del servicio civil,Servicio de la deuda,0.0,2071.1,2071.1,Servicio de la deuda,3801,5,Empleo público,0.0003917877922138305
Comisión nacional del servicio civil,Transferencias,0.0,1164.8,1164.8,Funcionamiento,3801,5,Empleo público,0.00022034398163810038
Comisión nacional del servicio civil,"Tributos, multas, sanciones, interés",0.0,4022.0,4022.0,Funcionamiento,3801,5,Empleo público,0.0007608374778060094
Computadores para educar (cpe),Adquisicion de activos financieros,0.0,0.0,0.0,Funcionamiento,2311,23,Tecnologías de la información y las comunicaciones,0.0
Computadores para educar (cpe),Adquisición de bienes y servicios,0.0,22983.7,22983.7,Funcionamiento,2311,23,Tecnologías de la información y las comunicaciones,0.004347802172712576
